channelType,nNodes,nFlows,pps,areaMultiplier,pktSize,throughput_kbps,delay_s,pdr,dropRatio,totalEnergy_J,avgNodeEnergy_J,avgPerNodeTput_kbps
lrwpan,20,10,100,1,64,0.0000,0.0000,0.0000,1.0000,56.3448,2.8172,0.0000
lrwpan,40,20,200,2,64,0.0000,0.0000,0.0000,1.0000,112.6897,2.8172,0.0000
lrwpan,60,30,300,3,64,0.0000,0.0000,0.0000,1.0000,169.0339,2.8172,0.0000
lrwpan,80,40,400,4,64,0.0000,0.0000,0.0000,1.0000,225.3784,2.8172,0.0000
lrwpan,100,50,500,5,64,0.0000,0.0000,0.0000,1.0000,281.7226,2.8172,0.0000
