channelType,nNodes,nFlows,pps,areaMultiplier,pktSize,throughput_kbps,delay_s,pdr,dropRatio,totalEnergy_J,avgNodeEnergy_J,avgPerNodeTput_kbps
wifi,20,20,200,3,80,203.8629,0.0948,0.0590,0.9359,78.4446,3.9222,14.5616
wifi,40,20,200,3,80,196.0251,0.3515,0.0567,0.9375,201.2797,5.0320,12.2516
wifi,60,20,200,3,80,499.3509,0.0499,0.1445,0.8481,326.5552,5.4426,27.7417
wifi,80,20,200,3,80,373.6183,0.4054,0.1081,0.8787,491.9331,6.1492,20.7566
wifi,100,20,200,3,80,93.9086,0.5269,0.0272,0.9478,651.1625,6.5116,4.9426
