channelType,nNodes,nFlows,pps,areaMultiplier,pktSize,throughput_kbps,delay_s,pdr,dropRatio,totalEnergy_J,avgNodeEnergy_J,avgPerNodeTput_kbps
wifi,60,10,200,3,80,172.7794,0.0016,0.1000,0.8931,290.2191,4.8370,17.2779
wifi,60,20,200,3,80,499.3509,0.0499,0.1445,0.8481,326.5552,5.4426,27.7417
wifi,60,30,200,3,80,472.2171,0.1410,0.0911,0.8953,361.7979,6.0300,20.5312
wifi,60,40,200,3,80,650.6743,0.2080,0.0941,0.8971,375.0013,6.2500,21.6891
wifi,60,50,200,3,80,510.5211,0.2015,0.0591,0.9306,361.4853,6.0248,14.5863
