channelType,nNodes,nFlows,pps,areaMultiplier,pktSize,throughput_kbps,delay_s,pdr,dropRatio,totalEnergy_J,avgNodeEnergy_J,avgPerNodeTput_kbps
wifi,60,20,100,3,80,176.8526,0.0059,0.1024,0.8795,295.3155,4.9219,9.8251
wifi,60,20,200,3,80,499.3509,0.0499,0.1445,0.8481,326.5552,5.4426,27.7417
wifi,60,20,300,3,80,611.6091,0.2294,0.1180,0.8763,332.8175,5.5470,33.9783
wifi,60,20,400,3,80,621.2366,0.2011,0.0899,0.9026,343.0843,5.7181,34.5131
wifi,60,20,500,3,80,707.9863,0.3914,0.0820,0.9112,342.1598,5.7027,39.3326
