channelType,nNodes,nFlows,pps,areaMultiplier,pktSize,throughput_kbps,delay_s,pdr,dropRatio,totalEnergy_J,avgNodeEnergy_J,avgPerNodeTput_kbps
wifi,60,20,200,1,80,152.2903,0.5102,0.0441,0.9186,1052.9633,17.5494,8.4606
wifi,60,20,200,2,80,295.0149,0.2267,0.0854,0.8974,560.4783,9.3413,16.3897
wifi,60,20,200,3,80,469.8103,0.0928,0.1360,0.8573,334.9039,5.5817,26.1006
wifi,60,20,200,4,80,517.5771,0.0043,0.1498,0.8441,233.7857,3.8964,28.7543
wifi,60,20,200,5,80,345.5589,0.0031,0.1000,0.8939,205.9199,3.4320,19.1977
