nNodes,nFlows,nPktPerSec,areaMultiplier,throughput_kbps,delay_ms,pdr_percent,dropRatio_percent,avgNodeEnergy_J
60,20,200,1,8.89776,319.626,77.2446,22.7554,0.190833
60,20,200,2,13.6524,390.477,75.4111,24.5889,0.186667
60,20,200,3,8.23605,386.618,72.5371,27.4629,0.164917
60,20,200,4,10.9927,330.042,76.9829,23.0171,0.189667
60,20,200,5,15.3996,683.736,75.9442,24.0558,0.178583
