nNodes,nFlows,nPktPerSec,areaMultiplier,throughput_kbps,delay_ms,pdr_percent,dropRatio_percent,avgNodeEnergy_J
60,10,200,3,11.4693,245.216,83.908,16.092,0
60,20,200,3,8.23605,386.618,72.5371,27.4629,0
60,30,200,3,10.4093,751.06,72.2509,27.7491,0
60,40,200,3,10.4093,751.06,72.2509,27.7491,0
60,50,200,3,10.4093,751.06,72.2509,27.7491,0
