Time(s),PacketUID,Delay(ms)
3.10634,39359,6.34261
3.1514,39361,51.3969
3.20485,40390,4.85021
3.21554,40392,15.5367
3.31006,41636,10.0622
3.31177,41638,11.7708
3.40485,42034,4.85022
3.43588,42032,35.8841
3.52483,43397,24.8262
3.55393,43399,53.9302
3.61068,44379,10.6822
3.70563,45952,5.63032
3.7406,44381,140.597
3.74582,45954,45.8213
3.81133,47096,11.3301
3.82207,39360,722.074
3.83849,40391,638.494
3.85465,41637,554.654
3.88042,42033,480.423
3.90485,48103,4.85022
3.93529,43398,435.29
3.95149,44380,351.488
3.96239,48101,62.393
4.00485,49428,4.85022
4.04173,49426,41.7278
4.06243,45953,362.429
4.06931,47095,269.309
4.07757,48102,177.566
4.08295,49427,82.9505
4.12106,50803,21.0586
4.13417,50804,34.1667
4.14488,50805,44.8796
4.20485,52093,4.85022
4.22101,52091,21.0105
4.22945,52092,29.4471
4.31064,53371,10.6422
4.34304,53370,43.0429
4.40254,53369,102.54
4.40485,54787,4.85022
4.43082,54786,30.8189
4.44906,54785,49.0604
4.52486,55995,24.8612
4.5282,55993,28.1952
4.53172,55994,31.7189
4.60485,57296,4.85022
4.6461,57295,46.0976
4.65275,57294,52.7466
4.72,58329,19.9957
4.7324,58328,32.3975
4.75625,58327,56.2511
4.80563,59847,5.6307
4.82551,59846,25.5069
4.8268,59845,26.8015
4.93367,60581,33.667
4.95251,60582,52.5135
5.00485,62067,4.85022
5.07794,62066,77.9359
5.08313,62065,83.1303
5.13072,63283,30.7197
5.13186,63285,31.8598
5.13761,63284,37.6109
5.20485,64744,4.85022
5.27333,64743,73.328
5.2888,64742,88.8028
5.33135,65705,31.349
5.35059,65706,50.5898
5.35652,65704,56.5211
5.40485,67300,4.85022
5.44286,67299,42.8627
5.4524,67298,52.403
5.52551,68346,25.5069
5.55072,68347,50.717
5.60485,69698,4.85022
5.62615,69697,26.1503
5.65485,69696,54.849
5.71104,70898,11.0405
5.73793,70897,37.9309
5.80394,70896,103.943
5.80485,72179,4.85022
5.81493,72177,14.931
5.83964,72178,39.6375
5.9187,72920,18.7012
5.91975,72922,19.7499
5.94115,72921,41.1473
6.02448,74570,24.4801
6.05026,74568,50.2584
6.05469,74569,54.6916
6.1194,75524,19.3966
6.12551,75523,25.5069
6.13385,75522,33.8474
6.20531,76523,5.30965
6.20541,76525,5.40975
6.25564,76524,55.6406
6.3549,77642,54.8956
6.36285,77643,62.8511
6.41306,79024,13.0614
6.42928,79022,29.2795
6.45572,79023,55.7237
6.52551,80183,25.5069
6.54578,80182,45.7842
6.56908,80184,69.0792
6.60485,80793,4.85022
6.65606,80792,56.0645
6.65724,80791,57.2366
6.73304,82036,33.0431
6.76232,82037,62.3234
6.80616,82035,106.163
6.80651,83219,6.5095
6.82551,83218,25.5069
6.91534,84629,15.3449
6.92551,84628,25.5069
7.00485,85128,4.85022
7.02551,85127,25.5069
7.1336,86748,33.5967
7.1556,86747,55.6008
7.16499,86749,64.9941
7.20485,87873,4.85022
7.23422,87872,34.2165
7.25565,83217,455.65
7.32808,89362,28.0763
7.34386,89363,43.8592
7.39144,85126,391.437
7.39676,87871,196.762
7.40485,90331,4.85022
7.43344,89361,133.441
7.4589,90330,58.8963
7.51714,91827,17.1447
7.52551,91826,25.5069
7.54768,91825,47.6821
7.60485,92469,4.85022
7.6392,92467,39.2029
7.69246,92468,92.4588
7.70603,94189,6.03276
7.73362,94190,33.6166
7.75498,94191,54.9844
7.80485,95061,4.85022
7.82551,95060,25.5069
7.84028,90329,440.278
7.84568,95059,45.6826
7.93084,96731,30.8389
7.93428,96730,34.2833
7.94709,96732,47.0922
8.00485,97510,4.85022
8.0352,97508,35.1982
8.0896,97509,89.602
8.12948,99192,29.4834
8.15351,99194,53.5139
8.15479,99193,54.7869
8.20485,100081,4.85022
8.23964,100080,39.6447
8.24022,100079,40.2182
8.32589,101857,25.8876
8.33316,101856,33.1599
8.36366,101855,63.6636
8.40485,102527,4.85022
8.42675,102525,26.751
8.46304,102526,63.0419
8.50637,104047,6.36873
8.52551,104046,25.5069
8.56621,104045,66.2073
8.60485,104700,4.85022
8.63224,104698,32.2432
8.66801,104699,68.014
8.71522,106223,15.2188
8.72805,106225,28.0512
8.74577,106224,45.7725
8.80485,106940,4.85022
8.84479,106939,44.7943
8.88748,106938,87.4848
8.92138,108692,21.3828
8.93312,108691,33.1153
8.9985,108690,98.4997
9.00485,109514,4.85022
9.03264,109513,32.6379
9.0759,109512,75.902
9.12551,111159,25.5069
9.13969,111160,39.6854
9.17203,111158,72.0299
9.20485,111853,4.85022
9.22551,111852,25.5069
9.29464,111851,94.6407
9.34661,113615,46.6051
9.34895,113617,48.9517
9.34982,113616,49.818
9.40485,114491,4.85022
9.43894,114490,38.9378
9.50445,114489,104.447
9.53172,116324,31.7189
9.54227,116325,42.2707
9.55564,116323,55.6435
9.60485,117131,4.85022
9.62551,117130,25.5069
9.69518,117129,95.1768
9.72819,118855,28.1944
9.73145,118854,31.454
9.73312,118856,33.1152
9.80485,119546,4.85022
9.82551,119545,25.5069
9.85987,119544,59.872
9.90485,121069,4.85022
9.92621,121068,26.2085
10.0049,121815,4.85022
10.0266,121813,26.5815
10.042,121814,41.9763
10.1277,123006,27.7033
10.1721,123007,72.1418
10.1902,123005,90.1619
10.2049,124131,4.85022
10.2395,121067,339.48
10.2465,124129,46.4766
10.2757,124130,75.6931
10.3256,125785,25.5669
10.3382,125784,38.2324
10.3396,125786,39.5844
10.4049,126393,4.85022
10.4569,126391,56.8641
10.4962,126392,96.2485
10.5315,127805,31.4789
10.5636,127806,63.6332
10.599,127804,99.0466
10.6049,128837,4.85022
10.6371,128836,37.079
10.6437,128835,43.7115
10.7255,130503,25.5069
10.7304,130504,30.3879
10.7723,130502,72.2745
10.8049,131480,4.85022
10.8614,131479,61.3972
10.8622,131478,62.2436
10.9185,132983,18.5408
10.9447,132982,44.6678
10.9818,132981,81.807
11.0049,133928,4.85022
11.0255,133927,25.5069
11.0658,133926,65.7984
11.1304,135371,30.4198
11.1557,135372,55.72
11.1834,135370,83.4308
11.2049,136438,4.85022
11.2255,136437,25.5069
11.2545,136436,54.5065
11.3067,137742,6.74881
11.3255,137741,25.5069
11.384,137740,83.9876
11.4049,138889,4.85022
11.4268,138888,26.8215
11.4839,138887,83.9008
11.5254,140436,25.3862
11.5255,140437,25.5069
11.5795,140438,79.4842
11.6049,141438,4.85022
11.6501,141437,50.1487
11.6558,141436,55.8183
11.7255,142870,25.5069
11.7294,142869,29.4388
11.7562,142871,56.1697
11.8049,143809,4.85022
11.8273,143807,27.3197
11.8793,143808,79.3457
11.9336,145164,33.6432
11.9583,145165,58.3413
11.987,145163,86.9641
12.0453,146177,45.3377
12.0555,146176,55.4906
12.1255,147665,25.5069
12.1815,147664,81.5324
12.2255,148838,25.5069
12.2477,148837,47.7308
12.3049,150235,4.85022
12.3207,150233,20.7462
12.3255,150234,25.5069
12.4049,146178,404.85
12.4105,147666,310.455
12.4306,151425,30.5789
12.4493,151424,49.3108
12.4582,148839,258.195
12.5426,151426,142.564
