Time(s),PacketUID,Delay(ms)
3.10485,88810,4.85011
3.10684,88819,6.83968
3.12338,88830,23.3782
3.17057,88849,70.5749
3.20485,91831,4.85004
3.2078,91811,7.8009
3.21257,91820,12.5684
3.21367,88800,113.665
3.22308,91850,23.0835
3.24133,91801,41.3303
3.28986,88817,189.864
3.29523,91848,95.2281
3.30557,93997,5.57025
3.30649,93987,6.49126
3.31277,94017,12.7737
3.32624,94006,26.2442
3.40485,97810,4.85004
3.40485,97829,4.85016
3.47859,94036,178.591
3.48678,97840,86.7848
3.5043,97859,104.305
3.51907,100483,19.0685
3.52024,100464,20.2418
3.52459,100513,24.5927
3.54745,100494,47.4507
3.60351,88840,503.509
3.60804,102370,8.04314
3.61323,102340,13.2273
3.62457,91841,424.567
3.62575,102323,25.7548
3.62923,102351,29.2329
3.63456,102321,34.5569
3.64219,94027,342.188
3.65373,91818,453.729
3.70275,94004,402.747
3.70538,104507,5.38062
3.71137,104537,11.3749
3.72748,88797,627.483
3.73078,97850,330.775
3.73568,104488,35.679
3.76972,104518,69.7225
3.81239,107586,12.394
3.83082,100504,330.825
3.83388,107567,33.8847
3.8397,107616,39.7014
3.84707,107597,47.0673
3.91001,109755,10.0144
3.91588,109725,15.8786
3.916,109736,15.9972
3.93792,91798,737.919
3.95399,93984,653.991
3.96702,109706,67.021
3.97792,104535,277.918
3.98338,107614,183.382
4.00339,97807,603.389
4.00523,111549,5.22755
4.012,111579,12.0041
4.01629,100461,516.288
4.01962,109753,119.616
4.04103,111560,41.0304
4.05362,111530,53.6171
4.08037,111577,80.3663
4.11616,113718,16.1588
4.12136,113748,21.3629
4.13163,113729,31.6294
4.13701,113699,37.0134
4.15356,104498,453.557
4.16791,113746,67.9088
4.18069,104528,480.69
4.20666,115706,6.66091
4.2104,115687,10.402
4.21589,115717,15.8898
4.21955,104485,519.554
4.22131,107577,421.314
4.22338,115736,23.3806
4.2678,109716,367.797
4.27647,88835,1176.47
4.28513,107607,485.126
4.29043,111540,290.431
4.31276,117615,12.7627
4.31795,117585,17.9468
4.32493,109746,424.929
4.33362,113709,233.616
4.34969,117634,49.6865
4.36023,117604,60.2314
4.41088,119881,10.8828
4.41326,119832,13.2555
4.41611,119851,16.1069
4.42846,119862,28.4634
4.43068,109738,530.677
4.46721,91836,1267.21
4.46745,111570,467.449
4.49481,94022,1194.81
4.50202,115734,302.021
4.51052,121684,10.5154
4.51111,121733,11.1133
4.51906,115697,319.056
4.52338,121714,23.3768
4.5387,97845,1138.7
4.5401,111562,540.103
4.54366,121703,43.6571
4.55085,88833,1450.85
4.55631,100499,1056.31
4.56657,113731,466.573
4.58596,102356,985.96
4.58902,113739,489.018
4.61248,123653,12.4775
4.61764,123623,17.6416
4.61766,107602,817.66
4.62499,117595,324.994
4.63241,123634,32.4055
4.6347,100497,1134.7
4.63821,123604,38.2097
4.65623,102354,1056.23
4.66372,121695,163.72
4.70525,109708,805.25
4.70997,125800,9.97262
4.71022,125781,10.222
4.72659,125830,26.5942
4.72985,125811,29.8536
4.73015,119842,330.146
4.73338,111532,733.383
4.74511,121694,245.11
4.78054,113701,680.535
4.80722,127926,7.21664
4.81628,127896,16.2814
4.84359,127915,43.5897
4.90067,119872,500.669
