Time(s),PacketUID,Delay(ms)
3.10679,56849,6.79287
3.19015,56850,90.1527
3.20485,58589,4.85006
3.20485,58588,4.85013
3.30574,60818,5.7368
3.30743,60819,7.4283
3.40852,62275,8.51686
3.41885,62274,18.8486
3.50485,63935,4.85013
3.5203,63936,20.3025
3.60485,65678,4.85006
3.60485,65677,4.85013
3.71983,67412,19.8308
3.73863,67413,38.6277
3.80571,68897,5.70865
3.81039,68898,10.3911
3.90485,70546,4.85006
3.90485,70545,4.85013
4.00485,71915,4.85006
4.00485,71914,4.85013
4.10485,73591,4.85006
4.10485,73590,4.85013
4.21455,75191,14.5494
4.27918,75192,79.1849
4.30485,77138,4.85006
4.31032,77137,10.3221
4.40485,78561,4.85006
4.40485,78560,4.85013
4.50485,78796,4.85006
4.50485,78795,4.85013
4.61746,80869,17.4622
4.63335,80868,33.3459
4.70485,82293,4.85013
4.71911,82294,19.107
4.80485,84238,4.85006
4.8535,84237,53.4964
4.9074,85613,7.39669
4.9106,85612,10.6021
5.00485,87645,4.85013
5.00573,87646,5.72805
5.10485,89004,4.85006
5.10485,89003,4.85013
5.20485,91020,4.85013
5.26145,91021,61.452
5.30609,92291,6.09262
5.31098,92290,10.9821
5.40485,94339,4.85006
5.40485,94338,4.85013
5.50485,94677,4.85006
5.50485,94676,4.85013
5.60606,96237,6.06148
5.61533,96238,15.329
5.70485,98102,4.85006
5.70485,98101,4.85013
5.8066,99715,6.602
5.80937,99714,9.37474
5.90485,101603,4.85006
5.92553,101602,25.5304
6.00544,103352,5.43834
6.00802,103353,8.01688
6.10485,104686,4.85006
6.10485,104685,4.85013
6.21908,106064,19.0794
6.30485,107756,4.85013
6.31061,106065,110.614
6.32058,107757,20.5832
6.40485,109301,4.85006
6.40485,109300,4.85013
6.50485,110592,4.85006
6.50485,110591,4.85013
6.60485,112232,4.85006
6.60485,112231,4.85013
6.70485,114041,4.85006
6.70485,114040,4.85013
6.80485,115746,4.85013
6.80624,115747,6.23535
6.90485,117046,4.85006
6.90485,117045,4.85013
7.02856,118715,28.5647
7.06182,118716,61.817
7.10485,120187,4.85006
7.10485,120186,4.85013
7.22427,121958,24.2732
7.25065,121959,50.6488
7.30485,123900,4.85006
7.30485,123899,4.85013
7.40485,125608,4.85006
7.40485,125607,4.85013
7.50485,127070,4.85006
7.50485,127069,4.85013
7.60541,128790,5.40545
7.69048,128791,90.48
7.70485,130618,4.85013
7.71023,130619,10.2344
7.80995,132360,9.95182
7.85927,132361,59.2745
7.90485,133890,4.85006
7.90485,133889,4.85013
8.00485,135445,4.85006
8.02725,135444,27.2502
8.10485,136690,4.85006
8.10485,136689,4.85013
8.20521,138349,5.20673
8.2491,138348,49.1038
8.30852,140054,8.52126
8.3104,140053,10.4021
8.40549,141800,5.49165
8.41727,141801,17.2727
8.50485,142986,4.85006
8.50485,142985,4.85013
8.60574,144708,5.74333
8.66082,144709,60.8172
8.70485,146516,4.85006
8.70485,146515,4.85013
8.80485,148353,4.85013
8.8395,148354,39.5016
8.90485,149860,4.85006
8.90485,149859,4.85013
9.00599,151489,5.99212
9.00613,151490,6.13175
9.10485,152804,4.85006
9.10485,152803,4.85013
9.20485,153773,4.85006
9.20485,153772,4.85013
9.31945,155461,19.4534
9.37511,155462,75.1073
9.40485,156965,4.85013
9.41354,156966,13.5368
9.52035,158990,20.351
9.58832,158989,88.3183
9.60485,160592,4.85013
9.61069,160593,10.6944
9.70526,162805,5.25779
9.71501,162804,15.0109
9.80485,164186,4.85006
9.80485,164185,4.85013
9.94812,166291,48.1158
10.0005,166292,100.514
10.0072,167887,7.18074
10.0177,167886,17.7308
10.1065,169783,6.50117
10.1228,169782,22.7705
10.2049,171321,4.85006
10.2049,171320,4.85013
10.306,173543,6.00198
10.3869,173544,86.8544
10.4326,175256,32.5887
10.5147,177497,14.6703
10.5313,175257,131.304
10.5466,177498,46.6157
10.6049,178973,4.85006
10.6049,178972,4.85013
10.7064,181067,6.38304
10.7549,181066,54.9135
10.8049,182549,4.85013
10.8069,182550,6.93928
10.9062,184241,6.18682
10.9253,184242,25.2769
11.0049,185747,4.85006
11.0049,185746,4.85013
11.1268,187595,26.8364
11.1783,187594,78.3074
11.2049,189268,4.85006
11.2049,189267,4.85013
11.3055,191234,5.52486
11.3632,191235,63.2488
11.4049,192822,4.85013
11.4065,192823,6.47237
11.5056,194837,5.57851
11.5071,194838,7.13485
11.6049,196341,4.85013
11.6055,196342,5.54786
11.7049,197884,4.85013
11.802,197885,102.043
11.8106,199427,10.6221
11.8244,199428,24.4156
11.9049,201521,4.85013
11.9176,201522,17.5668
12.0049,202822,4.85006
12.0049,202821,4.85013
12.1237,204587,23.6562
12.1658,204586,65.7672
12.2049,206237,4.85006
12.2049,206236,4.85013
12.3062,208516,6.18897
12.3157,208515,15.7056
12.4092,210021,9.16055
12.4108,210020,10.7821
