Time(s),PacketUID,Delay(ms)
4.75649,99499,1656.49
4.78288,102691,1582.88
4.934,106197,1634
4.9451,109104,1545.1
4.96064,112712,1460.64
5.13536,115557,1535.36
5.14082,119141,1440.82
5.14689,122051,1346.89
5.16014,124960,1260.14
5.761,158334,661.004
5.79881,161038,598.806
5.81489,163258,514.886
5.83077,165491,430.767
5.87758,167759,377.579
5.88888,170298,288.875
6.27478,172558,574.778
6.41586,174590,615.864
8.02293,192696,1522.93
8.03496,195856,1434.96
8.05911,198663,1359.11
8.07069,202025,1270.69
8.08208,204844,1182.08
8.09488,208111,1094.88
8.10571,210843,1005.71
8.11621,213893,916.206
8.80987,220974,1309.87
8.82076,223965,1220.76
8.83492,226003,1134.92
8.84757,228454,1047.57
8.86373,230418,963.73
