Time(s),PacketUID,Delay(ms)
3.40435,38822,304.353
3.42045,39867,220.445
3.43137,41463,131.374
3.4368,42260,36.7982
3.51518,42613,15.1786
3.72371,44004,123.714
3.73038,44750,30.3754
3.94056,46159,140.559
3.95109,47349,51.0873
4.09459,48276,94.5872
4.11518,49594,15.1786
4.27478,50646,74.7826
4.3156,51943,15.5956
4.39622,38821,1296.22
4.41926,39866,1219.26
4.49366,52979,93.6604
4.52035,53618,20.3506
4.57398,41462,1273.98
4.59734,42259,1197.34
4.63629,42612,1136.29
4.69656,44003,1096.56
4.78314,55981,83.1381
4.837,57482,36.9998
4.91518,58180,15.1786
5.05714,59884,57.1449
5.11518,60538,15.1786
5.18791,60536,87.9147
5.2165,61993,16.5019
5.244,61991,43.9952
5.35143,62180,51.4268
5.43292,62178,132.921
5.44889,63892,48.8907
5.45944,63890,59.4393
5.63766,64454,137.656
5.67965,66136,79.6539
5.69138,64456,191.382
5.72352,66138,123.524
5.8218,66938,121.796
5.8555,66940,155.495
5.86968,68103,69.6806
5.9394,68101,139.403
5.96101,68732,61.0135
6.02263,70142,22.63
6.171,70140,170.999
6.19125,71067,91.2548
6.22775,71065,127.749
6.24696,72208,46.9613
6.40542,72920,105.423
6.57395,72206,373.947
6.58081,72918,280.807
6.62163,75242,121.63
6.75047,75240,250.474
6.97031,80148,70.3103
7.02465,81662,24.6493
7.26558,82407,165.583
7.30033,84185,100.332
7.38601,85021,86.0102
7.48153,86479,81.529
7.56487,87294,64.8733
7.6175,88892,17.5038
7.76934,89654,69.3425
7.8169,91079,16.8952
7.9815,91865,81.4983
8.02087,93367,20.8706
8.14938,94300,49.382
8.22546,95891,25.4577
8.37656,96901,76.5616
8.42009,98403,20.0863
8.56569,99321,65.6872
8.66615,100383,66.1493
8.74016,101298,40.1576
8.82147,102822,21.4733
8.943,103586,42.9959
9.01518,105168,15.1786
9.17708,106065,77.0818
9.21518,107442,15.1786
9.35471,108198,54.714
9.4243,109702,24.3032
9.6724,110586,172.4
9.70044,112054,100.442
9.78231,112973,82.3082
9.81805,114313,18.0548
10.0142,115049,114.247
10.0719,116517,71.8563
10.1711,117348,71.0833
10.22,118764,20.0254
10.3726,119803,72.6105
10.4162,121378,16.2049
10.5933,122354,93.2688
10.6167,123941,16.6727
10.7855,124318,85.5394
10.8355,125803,35.5452
10.9175,126791,17.499
11.0207,128326,20.7106
11.1457,129187,45.6793
11.2553,130656,55.2736
11.3598,131712,59.7847
11.4295,133280,29.5286
11.6671,134020,167.054
11.6725,135554,72.5381
11.8102,136679,110.154
11.8359,138155,35.8759
11.9552,139048,55.2302
12.0525,140606,52.5058
12.1832,141525,83.1902
12.2178,143080,17.7596
12.3892,143726,89.2442
12.422,145356,21.9733
