Time(s),PacketUID,Delay(ms)
3.8601,86313,760.099
3.92073,89201,720.729
3.943,92566,643
4.22563,97945,725.629
4.25236,100510,652.359
4.26894,103423,568.94
4.2853,105902,485.3
4.30228,107956,402.28
4.32446,110043,324.457
5.37836,112584,1278.36
5.63244,115036,1432.44
5.64468,116702,1344.68
5.65683,118656,1256.83
5.73189,118805,1231.89
5.9802,121758,1380.2
5.98812,123866,1288.12
5.99342,126679,1193.42
6.7441,153153,744.096
7.08501,174625,185.009
7.14598,156819,945.983
7.1833,159600,883.298
7.20646,161640,806.465
7.28194,164677,781.937
7.29579,167094,695.79
7.30664,177539,206.638
7.39059,170180,690.593
7.39616,172616,596.158
7.49324,178599,293.237
7.52227,180834,222.266
7.58033,182376,180.332
7.60148,183949,101.483
7.62034,185652,20.3426
7.74607,188676,46.0733
7.82623,191220,26.227
7.93346,194466,33.4558
8.02034,196374,20.3426
8.12034,198328,20.3426
8.2583,200365,58.2967
8.33384,202041,33.8351
8.47647,205049,76.4681
8.55733,207210,57.3312
9.31548,209566,715.482
9.3702,211837,670.201
9.39908,214677,599.084
9.43067,216254,530.668
9.46512,218430,465.123
9.78834,220773,688.345
9.79543,223687,595.425
9.80085,226429,500.85
9.96219,237100,162.191
9.96794,239570,67.9355
10.0203,240763,20.3426
10.1469,243202,46.9321
10.2316,245768,31.5666
10.3717,248540,71.6756
10.4203,250934,20.3426
