Time(s),PacketUID,Delay(ms)
3.11352,132684,13.5176
3.12094,132736,20.9421
3.12613,132665,26.1263
3.13024,132704,30.2447
3.13151,132688,31.5106
3.14994,132699,49.9442
3.20638,136576,6.38235
3.20703,136571,7.02631
3.21225,136608,12.2504
3.22839,136560,28.3895
3.23683,136537,36.8298
3.25491,136556,54.9058
3.28118,132735,181.18
3.30855,140265,8.55453
3.31494,140217,14.9368
3.32451,140228,24.5114
3.33441,136607,134.407
3.34473,140233,44.7281
3.35329,140194,53.2883
3.38209,140264,82.0939
3.41849,145126,18.4863
3.41888,145158,18.8842
3.42607,145157,26.0712
3.45302,145087,53.0152
3.4976,145121,97.6045
3.52034,148836,20.3396
3.61946,152399,19.4577
3.62784,152400,27.8449
3.70424,136544,504.245
3.71037,155772,10.3748
3.71194,140201,411.943
3.80667,159674,6.66795
3.87752,145094,477.516
3.92597,163150,25.9746
3.95651,163198,56.5102
3.96576,148773,465.755
4.01518,166494,15.1844
4.03903,132680,939.032
4.06279,166446,62.7906
4.07596,163166,175.961
4.08418,148766,584.179
4.11195,169214,11.9457
4.13555,155735,435.548
4.18131,166462,181.305
4.19664,169166,96.6418
4.21076,159658,410.759
4.22723,171964,27.2268
4.27751,159685,477.506
4.28896,169182,188.958
4.29714,159721,497.144
4.33226,174869,32.2647
4.36348,163161,463.478
4.39213,174917,92.128
4.43014,171980,230.14
4.43878,177792,38.783
4.44612,166457,446.115
4.45604,174885,156.04
4.46781,177840,67.8081
4.48626,177808,86.2556
4.50379,152336,903.793
4.50465,166493,504.653
4.52373,180696,23.727
4.53068,140209,1230.68
4.5583,169213,458.304
4.60862,171975,408.617
4.61473,172011,414.731
4.62563,169162,525.634
4.63358,183454,33.5787
4.66802,174880,368.016
4.67439,180680,174.392
4.71541,177803,315.412
4.72354,186449,23.5364
4.76731,171960,567.311
4.77829,183438,178.288
4.79477,174865,494.771
4.814,180691,313.996
4.816,189454,15.9983
4.82076,177788,420.761
4.82847,180676,328.471
4.83491,169177,734.909
4.86301,183449,263.012
4.86951,186433,169.511
4.8864,177839,486.396
4.89141,186444,191.407
4.90286,180727,402.861
4.91004,189449,110.041
4.93263,174853,632.628
4.93856,192510,38.5554
4.98278,189438,182.777
4.99461,183422,394.607
5.00232,183485,402.317
5.00505,177776,605.055
5.03739,174916,737.39
5.04668,186480,346.676
5.05575,195842,55.7478
5.11129,199496,11.2897
5.11619,189485,316.189
5.12423,180664,624.226
5.13032,199491,30.3204
5.13818,192499,238.183
5.21957,202898,19.572
5.2284,202893,28.4021
5.279,195831,278.999
5.28162,192546,381.621
5.29481,186417,594.809
5.31051,195878,310.51
5.31538,206251,15.3783
5.32755,206246,27.5509
5.34291,199480,242.909
5.34685,192483,446.855
5.35052,206231,50.5215
5.4244,202882,224.397
5.43225,209416,32.2543
5.44,199527,339.998
5.45441,209396,54.4121
5.47336,136545,2273.36
5.48394,132713,2383.94
5.4853,140202,2185.3
5.51522,212393,15.2183
5.52131,206235,221.314
5.52326,202929,323.26
5.55323,206282,253.231
5.56977,209447,169.765
5.57,148774,2070
5.58958,155709,1889.58
5.61276,212424,112.764
5.62118,215623,21.1758
5.6493,215654,49.3029
5.66652,159659,1866.52
5.72582,219164,25.8207
5.7463,219133,46.2975
5.79278,209400,392.778
5.79796,206212,497.963
5.81717,222597,17.1712
5.83308,215634,233.082
5.84228,222628,42.2758
5.84847,219144,148.469
5.86149,222608,61.4861
5.92683,226142,26.8343
5.94382,226111,43.8232
5.97938,212388,479.377
6.02071,229707,20.7123
6.03918,215607,439.182
6.04822,215618,448.218
6.05014,229676,50.1361
6.07766,189422,1277.66
6.08694,215655,486.942
6.11674,233147,16.7406
6.13511,233178,35.111
6.16425,226072,264.246
6.17469,219128,474.687
6.19487,219165,494.866
6.20873,236889,8.72634
6.26139,222629,461.385
6.29391,222592,493.908
6.30004,169191,2200.04
6.30526,240132,5.26002
6.37759,226095,477.588
6.38784,226106,487.836
6.41015,229637,410.152
6.41534,222558,615.336
6.49549,233108,395.488
6.51974,236890,319.736
6.55982,226143,659.817
6.57108,229708,571.082
6.57625,233179,476.246
6.58683,240133,286.827
6.64546,202866,1445.46
6.66804,247831,168.04
6.69207,251301,92.0749
6.78402,240062,484.019
6.81323,254874,113.228
6.82737,259191,27.3733
6.88069,243869,480.695
6.98335,262626,83.3541
6.99783,247794,497.825
7.09539,251230,495.391
7.18762,254837,487.619
7.20053,254803,500.53
7.22184,259154,421.839
7.31044,262589,410.439
7.38881,266371,388.805
7.48552,269682,385.522
7.54887,269634,448.873
7.58394,273892,383.945
7.63577,273940,435.774
7.649,273888,448.997
7.6744,286816,174.403
7.68858,278676,388.579
7.83856,283025,438.559
7.84609,282977,446.091
7.89092,282993,490.923
7.89365,286805,393.647
7.95195,286782,451.954
7.95839,286853,458.387
7.97729,269645,877.292
8.01264,303165,112.637
8.02119,278639,721.192
8.05181,290970,451.811
8.07701,290954,477.014
8.09139,295216,391.395
8.09593,307142,95.9323
8.10746,282988,707.459
8.10989,299317,309.885
8.13972,278628,839.724
8.17727,295200,477.266
8.19646,299301,396.464
8.34365,303217,443.654
8.43166,307194,431.658
8.49112,307130,491.123
8.49236,307193,492.356
8.49746,307146,497.459
8.53034,325254,30.3447
8.53581,310892,435.812
8.57307,314453,373.067
8.58454,310939,484.537
8.60294,310876,502.94
8.63755,318089,337.553
8.65747,314500,457.471
8.6923,314501,492.304
8.69863,314437,498.627
8.70244,321473,302.44
8.76063,318066,460.634
8.77058,321489,370.58
8.78825,321450,388.253
8.80914,325285,309.144
8.81423,325215,314.229
8.85595,303185,955.95
8.86246,307162,862.461
8.8695,310908,769.497
8.88651,321521,486.511
8.8979,333038,197.899
8.89911,314469,699.109
8.91109,318105,611.09
8.93147,325286,431.469
8.94334,336799,143.336
8.95407,329132,354.065
8.95676,333108,256.761
8.99128,333077,291.279
8.99541,340517,95.4058
9.01694,336838,216.937
9.01922,318136,719.224
9.01922,329093,419.224
9.02674,321520,626.741
9.04008,344607,40.0831
9.06334,329163,463.339
9.07585,340556,175.848
9.09645,344646,96.4475
9.10605,336869,306.051
9.14231,348635,42.3106
9.19173,340587,291.732
9.19237,333109,492.37
9.21222,353006,12.218
9.23865,348674,138.653
9.25377,340540,353.77
9.26114,344677,261.142
9.26497,344630,264.966
9.27032,336870,470.318
9.27333,348705,173.333
9.27632,348658,176.323
9.30528,353029,105.277
9.32131,357075,21.312
9.34724,357098,47.2383
9.35616,340588,456.165
9.37704,353076,177.041
9.40165,357145,101.65
9.43053,344678,430.534
9.44625,361196,46.2517
9.45943,361173,59.4269
9.50774,348706,407.743
9.5102,353045,310.202
9.54466,365527,44.6623
9.57515,365504,75.1531
9.63009,369846,30.0859
9.63498,353077,434.976
9.654,369823,54.0037
9.68054,365543,180.542
9.68575,369862,85.7458
9.71963,373790,19.6339
9.73723,357146,437.232
9.73964,365574,239.642
9.75083,373829,50.8348
9.80345,357109,503.446
9.81554,378334,15.5386
9.81669,378295,16.6949
9.82427,361192,424.267
9.83159,373813,131.586
9.87532,357114,575.321
9.89581,361244,495.813
