Time(s),PacketUID,Delay(ms)
3.11569,53520,15.6904
3.12103,53536,21.0348
3.12415,53531,24.1499
3.12643,53524,26.4335
3.13842,53529,38.4196
3.15087,53537,50.8724
3.17326,53515,73.2561
3.18211,53499,82.1137
3.20998,55318,9.98215
3.21042,55325,10.4222
3.21164,55309,11.6366
3.21797,55330,17.9708
3.22232,55331,22.3249
3.22443,55314,24.4312
3.23765,55323,37.6519
3.25059,55293,50.585
3.25365,55312,53.6489
3.30532,57032,5.31624
3.31877,57044,18.7652
3.327,57026,27.0026
3.33237,57045,32.373
3.33732,57023,37.3231
3.36645,57028,66.449
3.41268,59293,12.6762
3.45428,59309,54.2754
3.45972,57007,159.72
3.46639,53525,366.391
3.46774,59314,67.7368
3.48362,59296,83.6232
3.49152,59298,91.5211
3.49397,55319,293.972
3.50544,60589,5.44229
3.5102,60610,10.2006
3.51549,60592,15.4906
3.52373,59302,123.727
3.52618,57033,226.179
3.54273,59303,142.732
3.54689,60598,46.886
3.56403,59315,164.027
3.57877,60599,78.7662
3.58951,60611,89.5144
3.62005,53500,520.053
3.62528,53498,525.277
3.63571,61751,35.7058
3.64188,55292,441.883
3.64838,61739,48.3831
3.65556,61730,55.5634
3.6937,61740,93.7035
3.70848,63250,8.48408
3.71008,63266,10.0822
3.71189,63259,11.8879
3.73592,61752,135.915
3.81598,64984,15.9755
3.82378,64993,23.7759
3.88598,65006,85.9755
3.91035,66299,10.3544
3.96845,63260,268.455
3.97932,63272,279.323
3.98469,60605,484.687
4.0097,60603,509.7
4.02201,67673,22.0096
4.02332,61746,423.323
4.02869,66315,128.687
4.04387,67689,43.8653
4.06281,63233,362.813
4.10034,61744,500.341
4.10712,68931,7.1239
4.12177,68947,21.7678
4.12899,63264,428.989
4.15723,63271,457.231
4.16875,64998,368.753
4.17631,59277,776.31
4.21301,65005,413.011
4.22025,70698,20.2473
4.2384,64989,438.398
4.2433,70682,43.3029
4.29814,64994,498.143
4.31283,72214,12.8287
4.34356,72198,43.557
4.38631,66309,486.314
4.40857,73935,8.56952
4.4155,55307,1215.5
4.41647,73951,16.4742
4.44253,73938,42.5339
4.52099,75191,20.9935
4.52991,75175,29.9062
4.56507,75178,65.0652
4.61082,76775,10.8184
4.68146,66313,781.465
4.68776,67687,687.763
4.69936,68945,599.357
4.71365,72212,413.646
4.72466,73949,324.659
4.73133,75189,231.327
4.73846,78165,38.4623
4.74562,78170,45.6203
4.78217,76789,182.168
4.80931,66282,909.311
4.81423,78181,114.225
4.81941,67656,819.405
4.82454,80026,24.5367
4.83772,70680,637.722
4.87074,80010,70.7447
4.90485,81579,4.85018
4.91436,72220,614.363
4.92752,68929,827.516
4.9746,81563,74.5984
5.01224,83292,12.2437
5.01737,83308,17.3707
5.09763,76784,497.633
5.10588,85179,5.8765
5.13821,85163,38.2085
5.17916,85168,79.1627
5.20642,86944,6.42432
5.22245,86928,22.4488
5.30624,88680,6.23517
5.32987,85172,229.874
5.34048,78174,640.476
5.34934,88664,49.342
5.35775,80019,557.749
5.36517,83297,365.168
5.38719,81572,487.19
5.39235,83301,392.354
5.40485,90022,4.85018
5.50501,86937,305.009
5.50974,90006,109.736
5.53338,88673,233.376
5.63911,86950,439.114
5.65263,91431,152.632
5.67659,93181,76.5905
5.71113,95068,11.1347
5.74096,86931,540.956
5.75626,91415,256.256
5.7732,88667,473.204
5.77869,90009,378.688
5.78401,91418,284.012
5.78962,93168,189.616
5.79482,95055,94.8206
5.81565,96394,15.6523
5.82485,96407,24.8513
5.84729,90015,447.293
5.85531,95057,155.314
5.92236,98067,22.3585
5.93161,93165,331.612
5.93639,98054,36.3903
5.98761,91424,487.61
6.0156,99258,15.5984
6.02515,99271,25.1528
6.0553,96396,255.297
6.09838,93174,498.383
6.10084,91429,600.835
6.13675,100928,36.7491
6.14715,100941,47.1464
6.17552,95061,475.518
6.21561,102369,15.6123
6.22112,102382,21.1166
6.34298,104249,42.9756
6.34844,104262,48.44
