Time(s),PacketUID,Delay(ms)
3.14907,171895,49.0731
3.15384,171938,53.8362
3.18484,171911,84.8415
3.18958,171934,89.584
3.22254,176696,22.5388
3.25576,176653,55.7597
3.27119,171930,171.192
3.28465,171887,184.648
3.3071,181069,7.10346
3.30976,176688,109.76
3.31034,181026,10.3416
3.31773,171877,217.728
3.337,176635,136.999
3.3396,181061,39.5981
3.40485,185826,4.85013
3.42403,185869,24.0311
3.4571,171939,357.104
3.47705,171889,377.05
3.48728,176697,287.284
3.49249,176647,292.488
3.49997,181020,199.968
3.50787,176692,307.871
3.51139,189710,11.389
3.51726,185820,117.262
3.52385,171917,423.847
3.52607,181065,226.073
3.53686,176675,336.862
3.55655,181048,256.545
3.59269,171896,492.69
3.60708,194060,7.07837
3.60796,176654,407.963
3.62415,176645,424.152
3.63443,181027,334.43
3.71337,197883,13.3675
3.80121,185827,401.208
3.80557,202057,5.57421
3.81298,189668,312.979
3.82012,194018,220.12
3.83689,189667,336.893
3.85394,194017,253.939
3.86991,197840,169.913
3.90525,202014,105.247
3.91091,206175,10.9143
3.93942,206132,39.4182
4.00627,209901,6.26617
4.02085,209858,20.8534
4.05406,197841,354.063
4.09883,202015,298.833
4.11252,213674,12.5247
4.12012,213717,20.1205
4.2053,217273,5.29909
4.22398,217316,23.9765
4.23237,194009,632.374
4.23939,189659,739.393
4.25087,181018,950.865
4.26144,185818,861.444
4.31416,220626,14.1567
4.32005,176669,1120.05
4.33182,181042,1031.82
4.36487,220669,64.869
4.44522,197884,745.218
4.46318,201996,663.18
4.47277,224416,72.7678
4.51866,227459,18.6635
4.52332,224459,123.316
4.53631,185842,1136.31
4.54445,171928,1444.45
4.55315,176686,1353.15
4.58319,227437,83.1916
4.59115,227480,91.1498
4.59699,209859,596.986
4.60655,230285,6.54705
4.62549,181059,1325.49
4.63351,230306,33.5116
4.69053,217253,490.534
4.72443,230263,124.427
4.74792,233396,47.9225
4.74976,233439,49.7593
4.80881,236869,8.81151
4.81603,197873,1116.03
4.84854,220606,548.545
4.8574,236912,57.404
4.8595,213707,759.502
4.86038,220661,560.377
4.91323,240122,13.2305
4.9291,217274,729.103
4.94243,206167,1042.43
4.96796,189702,1467.96
4.97579,194052,1375.79
5.01099,243961,10.9944
5.02855,240165,128.546
