Time(s),PacketUID,Delay(ms)
7.8961,12711,4796.1
7.92857,12945,4728.57
7.93894,13560,4638.94
7.94412,13777,4544.12
7.94987,14066,4449.87
7.95991,14533,4359.91
7.97224,14791,4272.24
7.98303,15013,4183.03
7.99368,15106,4093.68
8.00448,15742,4004.48
8.01543,15862,3915.43
8.02592,16451,3825.92
8.11393,16638,3813.93
8.11922,16764,3719.22
8.15383,16824,3653.83
8.18532,17506,3585.32
8.20127,17548,3501.27
8.22249,18298,3422.49
8.2333,18328,3333.3
8.25142,18885,3251.42
8.26986,19082,3169.86
8.2751,19098,3075.1
8.29141,19820,2991.41
8.29719,19869,2897.19
8.31338,20664,2813.38
8.31862,20680,2718.62
8.32972,21386,2629.72
8.33534,21441,2535.34
8.34658,22032,2446.58
8.35218,22063,2352.18
8.35797,22700,2257.97
8.36315,22703,2163.15
8.36864,23434,2068.64
8.37424,23494,1974.24
8.3798,24169,1879.8
8.39304,24228,1793.04
8.41932,29210,519.322
8.42609,29483,426.088
8.44195,30143,341.95
8.50314,30393,303.143
8.51283,30917,212.834
