Time(s),PacketUID,Delay(ms)
3.10499,24137,4.99114
3.10831,24124,8.31338
3.11598,24122,15.9761
3.12459,24139,24.5936
3.21062,24471,10.6221
3.21062,24458,10.6222
3.21613,24473,16.1263
3.21627,24456,16.2662
3.30736,24767,7.36311
3.31504,24782,15.0414
3.33113,24769,31.1289
3.41012,26464,10.1221
3.41565,26449,15.6462
3.48585,26451,85.8508
3.51066,26970,10.6621
3.51597,26955,15.9662
3.53085,26957,30.8451
3.55003,26466,150.034
3.55918,26972,59.1783
3.61022,27946,10.2221
3.61607,27961,16.0662
3.6279,27948,27.9024
3.67412,27963,74.1243
3.71074,28698,10.7421
3.71597,28713,15.9662
3.72114,28700,21.1364
3.7319,28715,31.9049
3.81026,29839,10.2621
3.81583,29824,15.8262
3.8602,29826,60.2034
3.91012,30458,10.1221
3.91553,30443,15.5262
3.91751,30445,17.5097
4.00413,30460,104.133
4.00791,31162,7.90763
4.02409,31177,24.0942
4.02728,31164,27.2843
4.05759,24134,957.587
4.11096,31707,10.9621
4.11615,31722,16.1462
4.20964,32668,9.63731
4.22889,32653,28.8874
4.3217,33753,21.6992
4.33803,33738,38.0304
4.40996,34752,9.96209
4.41551,34767,15.5062
4.5105,35455,10.5021
4.51623,35440,16.2262
4.61036,36196,10.3621
4.61623,36181,16.2262
4.71074,37004,10.7421
4.71615,36989,16.1462
4.81006,38126,10.0621
4.81535,38111,15.3462
4.9101,38986,10.1021
4.91549,38971,15.4862
5.01082,40166,10.8221
5.01615,40151,16.1462
5.11012,41344,10.1221
5.11621,41359,16.2062
5.11952,36183,519.522
5.13692,35442,636.921
5.16318,32655,963.176
5.2105,42171,10.5021
5.21571,42186,15.7062
5.22674,36991,526.745
5.31056,43177,10.5621
5.31619,43162,16.1862
5.33793,42173,137.926
5.41012,43916,10.1221
5.41455,37006,714.555
5.41615,43931,16.1462
5.43205,38128,632.045
5.50508,43918,105.077
5.51008,44872,10.0821
5.51186,38113,711.855
5.51865,38973,618.653
5.52266,44857,22.6626
5.52384,40153,523.837
5.55431,41346,454.309
5.5647,43164,264.698
5.56992,44859,69.9222
5.60882,45885,8.8173
5.61072,45883,10.7221
5.61607,45898,16.0662
5.67671,40168,676.707
5.68832,41361,588.323
5.70485,46637,4.85009
5.71387,46622,13.8706
5.71778,46624,17.7789
5.74063,42188,540.629
5.75815,43933,358.153
5.78453,44874,284.528
5.8104,47359,10.4021
5.81589,47374,15.8862
5.83078,47361,30.7824
5.9104,48225,10.4021
5.91563,48210,15.6262
5.93157,48212,31.5667
5.98902,47376,189.017
6.01086,48959,10.8621
6.01623,48944,16.2262
6.07195,48946,71.9459
6.10516,49701,5.16134
6.11063,49716,10.6254
6.15432,49703,54.3247
6.21004,50913,10.0421
6.21609,50898,16.0862
6.27501,49718,175.011
6.3101,51822,10.1021
6.32556,51807,25.5626
6.33498,50900,134.98
6.37552,51809,75.5221
6.41008,52648,10.0821
6.41545,52663,15.4462
6.41642,52650,16.4223
6.43405,48961,434.053
6.46636,50915,266.361
6.50976,53516,9.76018
6.51598,53531,15.9843
6.53153,51824,231.531
6.55187,52665,151.872
6.59716,53533,97.1624
6.61028,54556,10.2821
6.61595,54541,15.9462
6.63527,54558,35.2733
6.67298,53518,172.975
6.7059,55547,5.89823
6.71154,55532,11.5423
6.73558,55549,35.5849
6.80994,56290,9.94209
6.81515,56305,15.1462
6.90485,57161,4.85009
6.91153,57146,11.5306
7.0105,58393,10.5021
7.01615,58378,16.1462
7.11102,59420,11.0221
7.11627,59435,16.2662
7.21042,60426,10.4221
7.21617,60411,16.1662
7.24606,55534,546.061
7.25234,56292,452.339
7.26743,57148,367.434
7.28194,58380,281.943
7.31054,61305,10.5421
7.31587,61320,15.8662
7.41639,62535,16.3941
7.42228,62550,22.2782
7.50485,63550,4.85009
7.53012,63535,30.1197
7.60996,64728,9.96209
7.61599,64713,15.9862
7.63311,63537,133.108
7.65408,64715,54.0784
7.70992,65765,9.92209
7.71569,65750,15.6862
7.74085,65752,40.8467
7.74603,62552,346.031
7.80998,66917,9.98209
7.81629,66932,16.2862
7.81866,66919,18.6615
7.847,59422,747.003
7.86034,60413,660.342
7.88332,61307,583.319
7.89544,57163,995.439
7.90625,58395,906.248
7.91059,68129,10.5909
7.91624,68144,16.235
7.91795,59437,817.946
7.92331,68131,23.3105
7.937,61322,637.003
7.94761,62537,547.611
8.00146,66934,201.458
8.01012,68687,10.1221
8.01583,68702,15.8262
8.01757,68689,17.5746
8.11579,69933,15.7922
8.12268,69948,22.6763
8.21008,70937,10.0821
8.21541,70922,15.4062
8.31086,72167,10.8621
8.31824,72152,18.2398
8.41014,73047,10.1421
8.41575,73032,15.7462
8.42648,73049,26.4754
8.51069,73934,10.6905
8.51251,63552,1012.51
8.51587,73919,15.8746
8.52711,73936,27.1072
8.55113,69935,451.131
8.60676,75045,6.75621
8.61076,75043,10.7621
8.61621,75028,16.2062
8.62509,73921,125.094
8.63769,70924,437.694
8.68107,75030,81.0721
8.7102,76104,10.2021
8.71629,76119,16.2862
8.75105,72154,451.053
8.76144,76106,61.4418
8.80842,73034,408.421
8.81012,76916,10.1221
8.81631,76931,16.3062
8.91024,77839,10.2421
8.91259,76121,212.591
8.91595,77824,15.9462
9.01046,78917,10.4621
9.01583,78902,15.8262
9.0408,76933,240.795
9.05148,77841,151.484
9.11024,79743,10.2421
9.11581,79758,15.8062
9.14527,78919,145.267
9.17828,79760,78.2826
9.21042,80995,10.4221
9.21585,80980,15.8462
9.29633,76918,496.33
9.30485,81842,4.85009
9.30558,77826,405.579
9.31049,81827,10.4922
9.35175,78904,351.753
9.37256,80997,172.561
9.41068,82609,10.6821
9.41595,82594,15.9462
9.50516,83501,5.15726
9.52266,83486,22.6602
9.5472,81844,247.199
9.59073,82611,190.734
9.61072,84266,10.7221
9.61263,79745,512.628
9.61625,84251,16.2462
9.69776,83503,197.76
9.71028,85326,10.2821
9.71682,85311,16.8246
9.78029,81829,480.293
9.81044,86153,10.4421
9.81633,86138,16.3262
9.88731,84268,287.305
9.89805,82596,498.054
9.9102,87137,10.2021
9.91581,87122,15.8062
9.91969,83488,419.69
9.95524,85328,255.245
10.0099,87983,9.94209
10.0158,87998,15.7662
10.0862,86155,286.243
10.1058,88947,5.79019
10.1209,88932,20.935
10.1933,87139,293.258
10.2107,89756,10.7021
10.2161,89741,16.0862
10.3109,90877,10.9221
10.3167,90862,16.7262
10.3465,84253,746.53
10.362,85313,662.042
10.3774,86140,577.445
10.397,87124,497.025
10.4105,91851,10.4621
10.4158,91836,15.8462
10.4486,88000,448.624
10.5036,87985,503.613
10.5103,92969,10.2621
10.5157,92954,15.7062
10.6099,93839,9.92209
10.6155,93824,15.5462
10.7105,95147,10.5421
10.7158,95132,15.8262
10.7264,90864,426.429
10.7423,91838,342.34
10.7588,92956,258.849
10.7976,93826,197.647
10.8101,96042,10.1221
10.8162,96057,16.1662
10.8682,95134,168.204
10.8871,96044,87.0616
10.9071,97620,7.11737
10.9229,97607,22.8999
10.9247,97605,24.7398
11.0105,98485,10.5221
11.016,98500,16.0262
11.1049,99501,4.85009
11.1106,99486,10.6342
11.1126,98487,112.568
11.1178,95149,417.773
11.1789,99488,78.8765
11.1965,96059,396.518
11.2102,100539,10.2221
11.2157,100524,15.7262
11.2281,100526,28.0558
11.2484,97622,348.386
11.3106,101535,10.5621
11.3149,101522,14.9122
11.3163,101520,16.2862
11.4109,102379,10.9021
11.4113,102381,11.2818
11.4161,102394,16.1462
11.508,103432,7.99337
11.5101,103430,10.1421
11.5153,103445,15.3462
11.611,104203,10.9821
11.6163,104188,16.2662
11.6191,104190,19.0621
11.6721,98502,672.13
11.7025,101537,402.501
11.7049,105147,4.85009
11.7082,105134,8.18561
11.71,105132,10.0342
11.7569,103447,256.941
11.768,104205,168.035
11.8108,106167,10.7621
11.816,106154,15.992
11.8163,106152,16.3062
11.9061,106169,106.109
11.9121,107329,12.1163
11.921,107314,21.0168
11.9487,107316,48.7338
12.0081,108189,8.08377
12.01,108187,9.96209
12.0152,108202,15.2262
12.1108,109089,10.8221
12.1168,109074,16.8315
12.1195,109076,19.4772
12.2102,110225,10.2421
12.2157,110240,15.6862
12.261,110227,60.9938
12.3094,110832,9.37024
12.3129,110845,12.9362
12.3229,110830,22.9167
12.4103,111930,10.2621
12.4159,111945,15.9462
12.5072,111932,107.183
