Time(s),PacketUID,Delay(ms)
3.1099,148685,9.89545
3.1147,148673,14.7049
3.12999,148661,29.9922
3.1409,148690,40.896
3.14219,148635,42.1876
3.15032,148674,50.319
3.18705,148650,87.0462
3.20259,148645,102.592
3.20485,153070,4.85004
3.20562,148684,105.619
3.20634,153085,6.33997
3.2116,153096,11.6044
3.22279,153109,22.7916
3.2362,153119,36.2042
3.24564,148687,145.64
3.24663,153108,46.6302
3.24741,153080,47.4138
3.25433,153125,54.3314
3.25508,153122,55.0795
3.30585,157067,5.84843
3.31043,157022,10.4267
3.31375,157012,13.7494
3.3151,157064,15.0995
3.31762,157061,17.6157
3.32596,157038,25.9613
3.32606,157051,26.0613
3.39406,157050,94.0628
3.39692,153120,196.922
3.40485,161512,4.85009
3.40612,161538,6.12303
3.41129,161541,11.2895
3.42065,161524,20.6546
3.42711,161486,27.1127
3.44646,148697,346.464
3.45488,153132,254.881
3.46492,148637,364.925
3.48043,161525,80.4262
3.48103,157074,181.032
3.48957,161535,89.5662
3.49705,153072,297.054
3.50506,165630,5.06017
3.50708,165685,7.08143
3.51643,157014,216.429
3.52486,165679,24.8574
3.53415,165668,34.1469
3.53687,157073,236.868
3.56079,148656,460.793
3.56577,161547,165.766
3.5877,157027,287.702
3.59852,153091,398.52
3.61087,169228,10.8676
3.616,161496,215.999
3.6199,157033,319.897
3.62287,169266,22.866
3.62434,169283,24.3359
3.62998,169277,29.9803
3.64331,161501,243.307
3.65809,165645,158.094
3.66625,161507,266.251
3.67575,169243,75.7479
3.67881,165651,178.806
3.69173,169249,91.7335
3.70806,172695,8.06308
3.71535,172710,15.3534
3.71584,172750,15.8375
3.72382,161488,323.821
3.74226,172733,42.2571
3.77592,165632,275.92
3.78284,172744,82.8355
3.79383,157062,493.825
3.8056,176625,5.60067
3.82022,176570,20.2215
3.82492,176619,24.9187
3.83175,169230,231.752
3.85909,176585,59.0883
3.91663,180387,16.635
3.91962,180332,19.6233
3.92306,180347,23.0583
3.93,165656,430.002
3.94611,172697,246.11
3.94643,165680,446.432
3.96781,165682,467.81
3.97305,148630,873.054
3.98031,153065,780.308
3.98175,169280,381.749
3.98938,157007,689.381
3.99126,172747,291.257
4.00603,183373,6.03046
4.00747,183428,7.47154
4.01801,183388,18.015
4.03802,153093,838.022
4.04132,169254,441.317
4.0462,157035,746.197
4.0515,161509,651.501
4.06657,165653,566.565
4.06992,161481,669.923
4.07316,169251,473.163
4.08205,176572,282.048
4.09349,172718,393.488
4.11244,186436,12.4433
4.11582,186421,15.8219
4.14414,186476,44.1443
4.15521,176593,355.207
4.1579,172705,457.905
4.16327,180393,263.273
4.17861,180355,278.609
4.18375,180334,283.755
4.19683,172721,496.829
4.21817,189729,18.1696
4.22099,189744,20.9946
4.22869,183434,228.687
4.23832,186482,138.317
4.24071,183375,240.707
4.2512,176580,451.196
4.27759,189784,77.5937
4.30579,193041,5.79282
4.31113,193081,11.1348
4.31926,186423,219.261
4.32271,193026,22.7147
4.38106,180358,481.058
4.39728,189731,197.275
4.42373,196476,23.7333
4.43075,196461,30.7496
4.46105,196516,61.0499
4.48766,193028,187.664
4.49648,183423,496.476
4.50924,199478,9.24125
4.53345,183435,533.452
4.55805,199423,58.0525
4.55849,186483,458.49
4.57145,199438,71.4471
4.59931,186471,499.31
4.60752,202634,7.51874
4.6252,202594,25.2005
4.62611,189739,426.11
4.63048,189779,430.485
4.63654,196463,236.537
4.6416,193076,341.6
4.64544,202579,45.4435
4.65735,189790,457.349
4.66276,193036,362.757
4.67323,196511,273.226
4.67984,189791,479.839
4.70092,189755,500.924
4.70201,199473,202.012
4.70784,196471,307.84
4.71144,205587,11.4445
4.72105,205642,21.0547
4.73484,199425,234.838
4.77632,183366,776.324
4.79429,193088,494.286
4.80784,208904,7.83802
4.82194,208959,21.9373
4.83723,202629,237.231
4.87569,199485,375.69
4.87606,196522,476.061
4.89645,186414,796.45
4.90694,202641,306.939
4.90733,212559,7.33372
4.92105,212614,21.0473
4.93371,208919,133.708
4.94491,183394,944.914
4.95054,186442,850.539
4.95584,189750,755.843
4.96135,193047,661.347
4.97128,186459,871.276
4.9731,196482,573.096
4.97844,199444,478.44
4.98353,189767,783.535
4.98364,202600,383.645
4.98572,205649,285.724
4.99044,205608,290.444
4.99585,205637,295.849
5.00082,193064,700.818
5.01121,215430,11.2128
5.01338,208906,213.383
5.01343,215375,13.4323
5.03604,208966,236.043
5.06184,205602,361.839
5.06461,208954,264.607
5.0682,202602,468.195
5.07027,208925,270.272
5.08014,212621,180.135
5.089,202628,488.999
5.08934,212561,189.338
5.09879,215437,98.795
5.10485,218852,4.85004
5.11488,196499,714.881
5.12006,199461,620.065
5.1207,218914,20.6979
5.12536,212609,225.364
5.13426,215425,134.255
5.14345,202581,543.454
5.16382,212580,263.817
5.16892,202617,568.916
5.1912,215396,191.195
5.19939,205613,499.389
5.22733,208927,427.331
5.22857,218873,128.566
5.23479,222004,34.7881
5.23584,218902,135.844
5.24283,212582,342.825
5.25264,221942,52.6382
5.2572,189722,1057.2
5.25924,205625,559.241
5.262,218907,162.001
5.27936,208942,479.361
5.29854,196487,898.536
5.30719,225204,7.18867
5.33694,205589,636.945
5.33831,225266,38.3148
5.38918,212597,489.176
5.40746,228640,7.4554
5.43759,215413,437.593
5.44948,218890,349.479
5.4502,221992,250.199
5.45629,215401,456.29
5.45846,228702,58.459
5.46368,218867,363.683
5.47007,225254,170.07
5.47069,215377,470.687
5.47757,205597,777.566
5.50311,228690,103.109
5.53037,232356,30.3662
5.53136,218878,431.356
5.55616,225206,256.155
5.59917,232406,99.1732
5.6025,225197,302.501
5.60485,235984,4.85004
5.60775,232418,107.746
5.62845,232371,128.448
5.63098,225259,330.985
5.64013,205610,940.13
5.6572,205604,957.198
5.66233,221980,462.334
5.67803,236034,78.0281
5.67823,228642,278.23
5.6795,235999,79.5003
5.6918,221968,491.797
5.69303,225242,393.034
5.70485,239823,4.85004
