Time(s),PacketUID,Delay(ms)
3.10533,72877,5.33344
3.2067,74588,6.70359
3.30749,77353,7.48578
3.40734,79324,7.33771
3.50697,80729,6.96592
3.61277,82327,12.7681
3.70712,84785,7.11981
3.80485,86401,4.85009
3.90485,87848,4.85009
4.02131,89587,21.3129
4.1139,92227,13.8993
4.21704,94446,17.0408
4.32011,96801,20.1072
4.40485,98152,4.85009
4.50485,99338,4.85009
4.63361,101243,33.6122
4.70485,103424,4.85009
4.8167,105673,16.7041
4.90485,107859,4.85009
5.01918,109791,19.1817
5.1511,112307,51.1016
5.20485,113349,4.85009
5.30504,115442,5.03548
5.41963,117563,19.6308
5.53276,119597,32.759
5.61237,121822,12.3742
5.72915,123928,29.1545
5.80973,126165,9.73
5.90562,128439,5.62119
6.04276,130699,42.7554
6.11624,133145,16.2423
6.20485,135453,4.85009
6.33019,137489,30.1889
6.41108,139779,11.0846
6.5469,142183,46.8987
6.60602,144323,6.01821
6.73376,147103,33.7633
6.80599,149252,5.99404
6.93275,151603,32.7496
7.00485,154033,4.85009
7.18846,156325,88.4639
7.20655,158537,6.55376
7.31271,161165,12.7097
7.42233,163367,22.3321
7.52705,165800,27.0535
7.60625,167656,6.24884
7.80131,169963,101.313
7.82398,172397,23.9816
7.92306,174759,23.0568
8.00526,176856,5.26407
8.10485,178775,4.85009
8.30719,180370,107.19
8.53914,182507,239.139
8.5473,184432,147.296
8.57973,187021,79.728
8.60852,189234,8.52431
8.70943,191737,9.42901
8.82332,193880,23.3209
8.90485,196377,4.85009
9.12843,198500,128.427
9.14217,201042,42.1724
9.20828,203120,8.2807
9.30485,205537,4.85009
9.4188,207783,18.7999
9.50485,210424,4.85009
9.63084,212390,30.8394
9.70926,215067,9.2554
9.80523,217214,5.2271
9.91433,219695,14.3312
10.0051,221565,5.09277
10.1049,223935,4.85009
10.2158,225872,15.8373
10.3351,228537,35.0712
10.4643,230462,64.3026
10.5182,233089,18.2062
10.6235,235188,23.5472
10.713,237833,12.9814
10.8209,239565,20.883
10.9315,241917,31.4898
11.0691,243730,69.0547
11.1079,246217,7.88205
11.2347,247958,34.7275
11.3067,250582,6.72675
11.4424,252662,42.3812
11.5118,255257,11.7965
11.6816,257118,81.5703
11.7241,259519,24.0848
11.8629,261744,62.9375
11.907,264375,7.03986
12.0211,266761,21.1356
12.1126,269353,12.5875
12.2133,271231,13.3114
12.3049,273793,4.85009
12.4653,275788,65.2559
