Time(s),PacketUID,Delay(ms)
3.10485,11861,4.85019
3.11511,11860,15.1052
3.11653,11874,16.5342
3.12198,11866,21.9774
3.15501,11871,55.0062
3.20485,12198,4.85019
3.21001,12203,10.0143
3.2109,12211,10.9022
3.21617,12208,16.1664
3.24534,12197,45.3423
3.30992,12461,9.92219
3.31001,12466,10.0143
3.31657,12474,16.5704
3.33173,12460,31.7317
3.40485,13274,4.85019
3.41082,13287,10.8222
3.41288,13279,12.8804
3.47014,11865,370.14
3.49728,12471,197.28
3.50485,13728,4.85019
3.51001,13733,10.0143
3.51052,13741,10.5222
3.60485,14230,4.85019
3.61001,14235,10.0143
3.61032,14243,10.3222
3.70992,14695,9.92215
3.71115,14687,11.1522
3.71627,14682,16.2663
3.74605,12202,546.055
3.76426,12465,464.256
3.79391,13278,393.905
3.79913,13732,299.13
3.80485,15306,4.85019
3.81026,15319,10.2622
3.82538,13727,325.379
3.83517,14229,235.168
3.83811,15311,38.1114
3.84773,14234,247.73
3.87455,14681,174.547
3.889,15305,89.0015
3.90485,15834,4.85019
3.91064,15847,10.6422
3.92621,15839,26.2051
3.94732,13738,447.323
3.94999,15833,49.9885
3.99294,14240,392.939
4.00485,16442,4.85019
4.01001,16441,10.0143
4.01076,16455,10.7622
4.01539,16447,15.3865
4.10485,17081,4.85019
4.11011,17080,10.1113
4.11096,17094,10.9622
4.11522,17086,15.2245
4.11703,15831,217.03
4.14155,15844,241.55
4.16834,16452,168.339
4.1799,17091,79.8954
4.20485,17530,4.85019
4.21098,17543,10.9822
4.22217,17540,22.1713
4.22218,17535,22.1773
4.26,17529,59.9984
4.30485,17996,4.85019
4.31205,18009,12.0546
4.36508,16453,365.082
4.38152,17092,281.522
4.39879,18001,98.795
4.40485,18386,4.85019
4.41062,18399,10.6222
4.43061,18391,30.6121
4.48814,17541,288.137
4.49871,17995,198.71
4.51048,18812,10.4822
4.51591,18799,15.9063
4.52605,18804,26.0545
4.55759,18007,257.586
4.60485,19308,4.85019
4.6104,19321,10.4022
4.63482,19313,34.8194
4.71058,19900,10.5822
4.71635,19887,16.3463
4.73177,19892,31.7665
4.75767,18385,357.668
4.80485,20417,4.85019
4.81038,20430,10.3822
4.83058,20422,30.5772
4.90485,20753,4.85019
4.91082,20766,10.8222
4.94459,20758,44.5925
4.94984,18809,449.837
4.96973,11870,1869.73
4.97648,12207,1776.48
4.98224,12470,1682.24
4.9926,13283,1592.6
5.0028,13737,1502.8
5.00485,21224,4.85019
5.01064,21237,10.6422
5.02342,14239,1423.42
5.08594,19307,485.937
5.10485,21663,4.85019
5.11072,21676,10.7222
5.1315,19886,431.499
5.17878,11852,2078.78
5.20485,22121,4.85019
5.21066,22134,10.6622
5.24172,14691,1541.72
5.29609,15315,1496.09
5.30135,15843,1401.35
5.30485,22549,4.85019
5.31096,22562,10.9622
5.31959,16451,1319.59
5.36296,20752,462.956
5.40485,23004,4.85019
5.4108,23017,10.8022
5.4155,17090,1315.5
5.43003,21223,430.035
5.43531,13719,1935.31
5.50485,23628,4.85019
5.51104,23641,11.0422
5.56997,17539,1369.97
5.60485,24124,4.85019
5.61078,24137,10.7822
5.64207,18395,1242.07
5.6587,18808,1158.7
5.70485,24775,4.85019
5.71084,24788,10.8422
5.80485,25281,4.85019
