Time(s),PacketUID,Delay(ms)
3.10485,72916,4.85015
3.10519,72902,5.19341
3.11009,72923,10.0944
3.11155,72878,11.5482
3.11157,72877,11.5719
3.11987,72903,19.8705
3.12051,72891,20.5087
3.12949,72898,29.4916
3.14137,72886,41.3682
3.16262,72894,62.6212
3.16956,72911,69.5599
3.21032,74963,10.3221
3.21054,74962,10.5421
3.21546,75008,15.4647
3.21583,74988,15.8262
3.21597,74987,15.9662
3.22069,74983,20.6888
3.23649,72919,136.488
3.23878,75001,38.7843
3.25058,72900,150.575
3.26246,74979,62.4601
3.26549,74976,65.4886
3.28448,75004,84.4827
3.28448,74985,84.483
3.30994,76530,9.94217
3.3165,76510,16.4991
3.3218,76485,21.8032
3.34161,76523,41.6117
3.34906,76509,49.0643
3.35571,76498,55.7129
3.4062,79344,6.20278
3.40897,76484,108.975
3.41256,79337,12.5611
3.41555,79324,15.5541
3.42116,79299,21.1582
3.42644,76505,126.438
3.45241,76526,152.407
3.45576,79319,55.759
3.4594,79298,59.4038
3.47005,76507,170.05
3.47803,79312,78.0348
3.48743,74971,287.431
3.50485,81090,4.85009
3.50584,81136,5.84226
3.50631,81116,6.31446
3.51166,81091,11.6585
3.51174,79340,111.737
3.51636,81104,16.3567
3.51859,79321,118.586
3.52198,81129,21.9808
3.52767,81111,27.6652
3.57753,72913,477.529
3.601,74998,400.996
3.60749,79323,207.494
3.61114,82933,11.1421
3.61635,82908,16.3462
3.62104,82921,21.038
3.62395,76520,323.945
3.62632,82946,26.3222
3.63139,76493,331.394
3.63687,82928,36.8707
3.64618,82907,46.1756
3.65771,82953,57.7108
3.66762,81115,167.615
3.67874,82932,78.7419
3.68804,79334,288.035
3.69873,81126,198.734
3.70624,84820,6.23917
3.71004,84833,10.0421
3.71188,84845,11.8832
3.71527,84840,15.2665
3.71735,84844,17.354
3.7273,84865,27.3009
3.72794,82943,127.943
3.73333,84819,33.3268
3.73468,84858,34.6813
3.78002,81113,280.017
3.81044,87347,10.4439
3.81077,87342,10.7684
3.81635,87322,16.3479
3.82294,87360,22.9374
3.83102,87321,31.0242
3.86553,87335,65.5251
3.88767,84855,187.674
3.89785,87367,97.847
3.91012,89356,10.1221
3.91338,89355,13.3829
3.91447,89376,14.4673
3.91549,89381,15.4862
3.92129,89394,21.2853
3.92957,87346,129.568
3.93133,89369,31.326
3.94821,89401,48.2064
3.9708,81099,470.795
3.98215,89380,82.1503
4.00558,91292,5.58305
4.01316,91317,13.1556
4.01493,91312,14.9315
4.02012,91305,20.1157
4.02422,91316,24.2176
4.0253,91330,25.2998
4.02942,91291,29.4217
4.03052,91337,30.5241
4.10485,93198,4.85008
4.11024,93211,10.2421
4.11045,93223,10.4542
4.11792,93197,17.924
4.12333,93222,23.3281
4.1281,93243,28.0967
4.14112,93218,41.1233
4.18046,93236,80.4644
4.20485,95336,4.85008
4.20707,95335,7.06985
4.21055,95361,10.5542
4.22812,95349,28.1194
4.2321,95360,32.0966
4.24732,95381,47.321
4.27116,95374,71.1592
4.306,97455,6.00449
4.30655,97479,6.55257
4.30963,97500,9.63315
4.3149,97468,14.8975
4.31712,97480,17.1166
4.35513,97493,55.1283
4.40996,99930,9.96208
4.41525,99955,15.2462
4.43757,99968,37.5684
4.44277,99943,42.7726
4.46379,99975,63.7864
4.49547,99954,95.4678
4.50992,102106,9.92208
4.51527,102081,15.2662
4.52975,102094,29.7457
4.55184,102105,51.8357
4.56903,102119,69.0255
4.59573,102126,95.7307
4.60485,104579,4.85008
4.60883,104567,8.83213
4.61027,104554,10.2742
4.61888,104578,18.8833
4.64726,104592,47.2588
4.67156,95371,471.565
4.68486,97490,384.86
4.69581,104599,95.8139
4.7066,106317,6.60238
4.714,106292,14.0013
4.71511,106316,15.1122
4.73623,93239,636.226
4.73899,106330,38.9938
4.75695,106305,56.9547
4.77794,106337,77.9379
4.80485,108191,4.85009
4.80798,108167,7.98164
4.81052,108205,10.5234
4.81379,108192,13.7858
4.81573,108180,15.7275
4.82893,108212,28.9265
4.90731,109861,7.30842
4.91092,109837,10.9221
4.92025,109862,20.249
4.93186,109875,31.864
4.95575,109850,55.749
5.00839,111708,8.3903
5.01651,111721,16.509
5.02047,111707,20.469
5.03441,111696,34.4089
5.07362,109882,173.616
5.08822,104553,488.222
5.12957,106291,429.569
5.1347,114112,34.702
5.15766,111728,157.66
5.15918,108166,359.177
5.16592,114124,65.9218
5.19357,114137,93.5673
5.21557,114123,115.57
5.22546,116312,25.4599
5.24302,116287,43.0231
5.26187,111682,261.874
5.26387,114144,163.87
5.30294,111699,302.941
5.30534,118391,5.33974
5.32445,118416,24.4514
5.33627,116319,136.27
5.33871,116299,138.707
5.34523,82924,1745.23
5.35898,114115,258.976
5.3627,118403,62.7023
5.36997,118423,69.9718
5.39611,95377,1196.11
5.39814,111683,398.14
5.41702,120670,17.0164
5.41732,120683,17.323
5.42301,120658,23.0071
5.42823,120690,28.2314
5.43594,93214,1335.94
5.45782,116298,257.824
5.46303,116273,263.028
5.48106,95352,1281.06
5.49728,97471,1197.28
5.5025,108183,702.504
5.50564,122772,5.64024
5.50653,118377,206.531
5.50843,122785,8.42626
5.51305,118402,213.05
5.51363,122792,13.6305
5.53487,122760,34.8691
5.58653,109836,686.534
5.5929,116290,392.902
5.6132,114098,513.2
5.61565,124619,15.6507
5.61933,124639,19.3346
5.62503,120644,225.035
5.64352,97496,1343.52
5.67393,99971,1273.93
5.68018,120669,280.183
5.69554,122746,195.535
5.70455,108208,904.551
5.70598,126752,5.98275
5.70762,124607,107.617
5.72639,109878,826.387
5.72992,124593,129.924
5.7479,111724,747.9
5.74849,122771,248.489
5.77757,124632,177.569
5.78272,126726,82.7239
5.79197,126772,91.9662
5.79443,124618,194.426
