Time(s),PacketUID,Delay(ms)
3.91572,101042,815.718
3.93187,104320,731.865
3.99137,108100,691.367
4.02548,111352,625.478
4.03261,114954,532.613
4.05361,118000,453.606
4.05891,121319,358.911
4.21854,124503,418.544
4.38729,101043,1287.29
4.64858,104321,1448.58
4.6538,108101,1353.8
4.678,111353,1278
4.69577,114955,1195.77
4.72356,133748,523.562
4.75211,118001,1152.11
4.94487,149613,144.875
4.95155,152727,51.5512
5.03072,154740,30.722
5.11283,157088,12.8276
5.21001,157673,10.0143
5.31498,159942,14.9775
5.42213,162696,22.1349
5.54472,165609,44.7188
