Time(s),PacketUID,Delay(ms)
3.10563,82336,5.63444
3.10602,82306,6.0243
3.10748,82340,7.48055
3.15665,82337,56.6517
3.19031,82341,90.3108
3.1931,82312,93.1031
3.20573,84997,5.73275
3.21058,85001,10.5821
3.21579,84967,15.7871
3.22792,84998,27.9204
3.24997,84973,49.9651
3.25515,82307,155.149
3.2666,84968,66.5982
3.2937,82346,193.699
3.29673,82339,196.732
3.30452,85007,104.524
3.3097,85000,109.7
3.31087,86568,10.8668
3.31149,86572,11.4933
3.31629,86538,16.2937
3.3774,86578,77.4029
3.40542,89412,5.41907
3.40578,89416,5.77846
3.43275,86569,132.751
3.46055,89382,60.5482
3.46846,89413,68.4599
3.47141,82320,371.414
3.47714,84981,277.138
3.49267,89422,92.6697
3.49703,86552,197.027
3.50259,89396,102.592
3.50564,91420,5.64306
3.51085,86539,210.847
3.5209,91386,20.8963
3.52761,86544,227.61
3.54029,91400,40.2866
3.54251,82308,442.509
3.56408,91426,64.081
3.60485,93604,4.85009
3.61974,93570,19.739
3.62753,84975,427.53
3.64211,89383,242.112
3.70603,95481,6.02739
3.71988,95515,19.8826
3.7224,93610,122.402
3.73074,89388,330.737
3.73461,85002,534.605
3.73719,95521,37.1909
3.74133,91387,241.326
3.82348,97924,23.4757
3.83275,97918,32.7547
3.84038,97884,40.3848
3.90967,99927,9.67365
3.9309,99893,30.8985
3.94835,99933,48.3514
3.97442,91416,474.421
4.00485,102226,4.85009
4.00597,102192,5.97174
4.01275,91419,512.753
4.03274,102223,32.739
4.04388,91388,543.883
4.04909,102232,49.0919
4.07297,93600,472.967
4.09141,93572,491.408
4.11474,104752,14.741
4.11628,104755,16.283
4.12838,95511,428.384
4.14655,104761,46.5475
4.18458,104721,84.5803
4.21944,107260,19.4388
4.2288,107226,28.7979
4.26489,107257,64.889
4.27517,97919,475.172
4.30485,109626,4.85009
4.3101,107266,110.099
4.32927,109623,29.2693
4.33205,109592,32.0498
4.40934,109632,109.338
4.40958,111900,9.57505
4.41813,111897,18.1266
4.42823,111866,28.2272
4.45809,102222,458.087
4.4735,111906,73.5005
4.47496,93578,874.957
4.50912,113835,9.11626
4.51551,113844,15.5146
4.51747,113804,17.4667
4.52199,84976,1321.99
4.55055,104751,450.548
4.55243,113838,52.4256
4.57488,82315,1474.88
4.63311,115845,33.1113
4.63615,115879,36.1467
4.663,115876,62.9989
4.66852,107234,468.523
4.685,107256,485.002
4.71082,109600,410.824
4.72505,118180,25.0471
4.7284,118214,28.4029
4.81818,120683,18.1767
4.82216,120649,22.1567
4.83468,118211,134.683
4.89104,120680,91.0367
4.94885,123188,48.8538
4.94901,123191,49.0082
5.03744,125785,37.4408
5.12175,128301,21.7483
5.25466,111867,854.655
5.31314,123197,413.144
5.31871,125782,318.709
5.43093,125791,430.928
5.48926,125781,489.261
5.50578,128297,405.779
5.5427,130149,342.698
5.56007,132174,260.065
5.69049,134239,290.488
5.71979,136290,219.786
5.74437,138287,144.374
5.75292,140203,52.9212
5.80513,142611,5.13452
5.91285,145236,12.8547
6.00485,147725,4.85005
6.04196,128307,941.961
6.04719,130159,847.186
6.05251,132184,752.51
6.06422,134249,664.219
6.08797,138297,487.973
6.13541,140213,435.41
6.21154,142621,411.536
6.23792,150428,137.923
6.32452,145246,424.521
6.41676,147735,416.757
6.42739,158847,27.3889
6.4334,147695,433.396
6.46216,150438,362.161
6.46269,150398,362.692
6.48684,153172,286.836
6.50034,153132,300.342
6.50755,161521,7.55285
6.52106,155894,221.058
6.525,155854,224.997
6.53194,153162,331.937
6.55021,158813,150.21
6.56774,158853,167.739
6.58717,161527,87.1698
6.59917,161487,99.1664
6.61672,164156,16.7194
6.67347,164196,73.4668
6.70552,166797,5.51892
6.71361,166837,13.6066
6.72057,166831,20.5717
6.77148,155884,471.477
6.8122,169651,12.2003
6.8176,158843,417.605
6.8295,161517,329.502
6.83785,164186,237.855
6.84116,169645,41.1602
6.85155,169611,51.5527
6.85221,166827,152.206
6.87793,107235,2677.93
6.89142,169641,91.4229
6.90485,172583,4.85013
6.90674,172623,6.74268
6.92727,172613,27.266
6.94213,172617,42.1332
7.00485,175505,4.85005
7.00485,175515,4.85006
7.00637,175509,6.37421
7.01053,175475,10.5307
7.10654,178460,6.53932
7.1084,178430,8.40136
7.11415,178464,14.1492
7.11796,178470,17.9578
7.20485,181199,4.85005
7.20485,181203,4.85009
7.2194,181209,19.4026
7.29842,181169,98.4167
7.30838,183862,8.37573
7.32196,183866,21.9569
7.32588,183872,25.8812
7.37796,183832,77.9638
7.40551,186680,5.51352
7.40996,186684,9.96059
7.41453,186690,14.5336
7.43156,186650,31.5579
7.50513,189690,5.13142
7.51276,175506,512.757
7.5309,189694,30.8993
7.53938,189700,39.384
7.6082,192433,8.19622
7.6121,192437,12.0998
7.62305,192443,23.0486
7.7103,195777,10.3003
7.73154,195773,31.542
7.76566,181200,565.655
7.80485,198969,4.85005
7.82257,198973,22.5692
7.89372,195783,193.717
7.92467,201782,24.668
7.98808,201788,88.0774
7.99712,198979,197.12
8.00988,204976,9.87722
8.12603,207732,26.0305
8.27328,201778,373.275
8.30115,210321,101.149
8.3637,213742,63.695
8.4304,216849,30.3975
8.49486,213736,194.855
8.5159,219693,15.9045
8.562,216843,162.004
8.56526,207723,465.265
8.58517,207722,485.167
8.58817,210312,388.167
8.59345,210311,393.449
8.61567,222757,15.6702
8.71517,226106,15.174
8.73865,213733,438.652
8.77987,213732,479.874
8.83019,229330,30.1901
8.86873,216840,468.727
8.89881,216839,498.813
8.90719,232215,7.19495
8.92983,219683,429.833
8.93312,219684,433.122
8.97808,222747,378.08
9.06512,235058,65.1178
9.17842,226096,478.416
9.18624,229320,386.239
9.19612,232205,296.12
9.29388,238140,193.877
9.45213,241034,252.126
9.49009,238131,390.086
9.52827,244176,228.274
9.56172,247420,161.724
9.59403,250072,94.0264
9.60689,252943,6.88729
9.63733,252949,37.3333
9.67383,241024,473.829
9.70707,244166,407.068
9.71718,255844,17.1823
9.72785,247410,327.853
9.73195,255838,31.9498
9.73858,250062,238.579
9.76772,255834,67.7192
9.79562,252939,195.617
9.80233,244167,502.33
9.80485,258938,4.85251
9.8321,258948,32.1023
9.90631,261572,6.30649
9.93527,261582,35.2708
9.96363,250063,463.631
10.0051,258942,205.076
10.007,263939,6.9678
10.0153,263949,15.2799
10.033,261576,133.023
10.0466,222748,1446.64
10.0591,226097,1359.08
10.0694,263943,69.3886
10.0985,252940,498.502
10.1064,266608,6.36009
10.1198,266618,19.8036
10.2051,269265,5.06137
10.2266,269275,26.6406
10.3063,272352,6.30258
10.3236,272362,23.6037
10.4049,275291,4.85009
10.4695,275287,69.4632
10.4716,263909,471.635
10.485,258939,685.025
10.4853,266578,385.311
10.5003,263940,500.269
10.5039,269235,303.889
10.5091,278485,9.09313
10.512,244136,1211.97
10.5437,275297,143.681
10.5511,278489,51.1016
10.5512,247380,1151.25
10.5692,250032,1069.2
10.5916,252909,991.614
10.6001,255804,900.137
10.6049,281376,4.85005
10.6113,258908,811.335
10.7307,284339,30.689
10.7388,278455,238.782
10.7607,272322,460.683
10.7659,275257,365.908
10.7996,281346,199.565
10.8066,287179,6.61032
10.8149,278495,314.867
10.8471,281386,247.077
10.8589,281380,258.872
10.8615,284305,161.459
10.9081,290563,8.07697
10.9186,284345,218.629
10.9209,287145,120.9
10.9346,287185,134.603
11.02,293706,20.0255
11.0636,290569,163.617
11.0814,293700,81.4395
11.092,290529,191.976
11.1311,296736,31.0946
11.1395,293666,139.481
11.1739,296696,73.9258
11.2106,299507,10.5745
11.2202,296730,120.174
11.2306,299547,30.6087
11.2776,287175,477.619
11.3073,302425,7.34144
11.3139,302385,13.9133
11.3542,299541,154.224
11.3711,255812,1671.1
11.391,258916,1591.04
11.3952,290559,495.248
11.4069,305080,6.87293
11.4078,261550,1507.83
11.4192,305040,19.1581
11.4331,263917,1433.11
11.4461,293696,446.141
11.4468,302419,146.789
11.4639,266586,1363.91
11.4776,296726,377.609
11.4814,269243,1281.42
11.487,299537,287.012
11.4935,272330,1193.55
11.4974,305074,97.3649
11.5049,307632,4.85013
11.5051,275265,1105.07
11.5151,302415,215.119
11.5332,307672,33.198
11.5394,307666,39.38
11.5467,278463,1046.75
11.5574,281354,957.387
11.5693,284313,869.315
11.5839,305070,183.867
11.5857,287153,785.732
11.5872,296727,487.232
11.6049,310335,4.85006
11.6068,290537,706.8
11.6089,310295,8.85933
11.6156,293674,615.641
11.6157,307662,115.678
11.622,299538,421.992
11.6244,310329,24.3826
11.6583,296704,558.316
11.7037,310325,103.681
11.7057,313098,5.69496
11.7543,313138,54.3017
11.7793,313132,79.2774
11.8103,315674,10.339
11.8305,315708,30.5039
11.8557,315714,55.7372
11.895,313128,195.023
11.9199,318276,19.8676
11.9301,318270,30.1064
11.9426,315704,142.65
11.973,313129,272.998
11.9895,315678,189.547
12.0079,320835,7.88931
12.0091,320875,9.11498
12.024,320869,24.0114
12.1049,323586,4.85006
12.109,323546,8.99564
12.1278,299515,927.801
12.1437,302393,843.705
12.1467,323580,46.6982
12.1934,305041,793.387
12.2045,305048,804.525
12.2152,315705,415.238
12.2384,326166,38.4312
12.2859,307640,785.862
12.2984,310303,698.448
12.3062,329103,6.1519
12.3448,318266,444.805
12.345,329137,45.0463
12.3536,313106,653.607
12.4049,331821,4.85013
12.4085,315682,608.527
12.4096,326200,209.592
12.4204,326206,220.425
12.4385,331855,38.4554
12.4947,329143,194.745
12.5457,323576,445.675
12.5511,320843,551.067
12.5695,318244,669.493
12.5953,331861,195.305
12.667,326196,466.968
12.6854,329133,385.376
12.7072,331851,307.191
