Time(s),PacketUID,Delay(ms)
3.12793,37320,27.9318
3.20485,38036,4.8501
3.31766,39672,17.6611
3.40485,40334,4.8501
3.51278,40865,12.7794
3.60485,42045,4.8501
3.71565,43345,15.646
3.80485,43897,4.8501
3.90485,44120,4.8501
4.03144,45309,31.4363
4.10485,46548,4.8501
4.21535,47679,15.3476
4.30485,48855,4.8501
4.40485,49145,4.8501
4.50485,49198,4.8501
4.60675,51034,6.7487
4.70485,51573,4.8501
4.80485,53398,4.8501
4.90485,53814,4.8501
5.00485,55431,4.8501
5.10485,56136,4.8501
5.20485,56158,4.8501
5.30577,57686,5.76656
5.40485,58392,4.8501
5.50505,59978,5.04628
5.60485,60867,4.8501
5.79,62118,89.9979
5.80485,63127,4.8501
5.90532,64454,5.31715
6.00485,65577,4.8501
6.13866,66876,38.6593
6.20485,67723,4.8501
6.32175,69157,21.7532
6.40485,70189,4.8501
6.50559,71528,5.5884
6.60485,72283,4.8501
6.73057,73707,30.5691
6.80485,74694,4.8501
6.90485,76083,4.8501
7.00485,76771,4.8501
7.11309,78152,13.0869
7.20485,78661,4.8501
7.30841,80064,8.41125
7.40485,80926,4.8501
7.52651,82360,26.5137
7.60485,83245,4.8501
7.7458,84653,45.8011
7.80485,85543,4.8501
7.90648,86690,6.48179
8.00485,86797,4.8501
8.10485,88373,4.8501
8.20485,89321,4.8501
8.30569,90728,5.69343
8.40485,91703,4.8501
8.50602,93017,6.01782
8.60485,93933,4.8501
8.70663,95277,6.63165
8.80485,96302,4.8501
8.90485,97779,4.8501
9.00485,98765,4.8501
9.12693,100123,26.926
9.20485,101176,4.8501
9.30756,102479,7.56155
9.40485,103599,4.8501
9.5405,104887,40.5007
9.60485,105917,4.8501
9.70632,107256,6.32328
9.80485,108303,4.8501
9.91134,109684,11.3356
10.0049,110673,4.8501
10.1053,112091,5.30342
10.2049,112771,4.8501
10.3321,114158,32.1215
10.4049,115415,4.8501
10.5577,116860,57.7334
10.6049,117710,4.8501
10.7097,119056,9.70379
10.8049,120266,4.8501
10.9173,121483,17.3126
11.0049,122208,4.8501
11.1143,123415,14.3492
11.2049,124337,4.8501
11.3057,125713,5.67462
11.4049,126455,4.8501
11.5655,127821,65.4957
11.6049,128991,4.8501
11.736,130344,36.0117
11.8049,131065,4.8501
11.9829,132423,82.9091
12.0049,133646,4.8501
12.1102,135102,10.2473
12.2049,135724,4.8501
12.3096,136989,9.59731
12.4049,138040,4.8501
